country.name,country.iso,region,entities,eu.member,text.category,text.type,source.name,source.link,start.year,end.year,start.date,end.date,complete,retrieval.way,file.type,primary.secondary,storage,archive,init.source,scientific,source.type,meta.vars,organization.name.av,annot.av,codebook.av,vars,analysis.type,full.text.av,text.ready,corpus.type,registration,free.access,copyright,copyright.owner,notes,,,,,,,
"Germany, Austria, France, United Kingdom, Netherlands, Greece, Portugal","DE, AT, FR, GB, NL, GR, PT",national,"DE: CDU, CSU, CDU/CSU, SPD, FDP, 90/Greens, LINKE, AfD; AT: ÖVP, SPÖ, GRÜNE, FPÖ, Liste Martin, BZÖ, TS, NEOS; FR: UMP, PS, MoDem, Les Verts, FDG, FN, Nouveau Parti Anticapitaliste; GB: Conservatives, Labour, LibDems, UKIP, GPEW, BNP; NL: CDA, PvdA, VVD, GL, SP, ChristenUnie/SGP, D´66, PVV, PvdD; GR: ND, PASOK, KKE, SYRIZA, LAOS, OP, DIMAR, ANEL, XA; PT: PS, BE, CDS-PP, CDU, PSD, Alianca Portuga (AP)",1,Press Release,"Press Release (from party office, from PPG)",The role of national parties for the politicization of EU integration,https://forsbase.unil.ch/project/study-public-overview/11960/1594/,2008,2014,,,0,1,".dta, .sav",2,5,0,"Silke Adam, Michaela Maier (2014): Content analysis of European issue salience in party press releases, seven country-study, 2014 [Dataset]. Universität Bern - Wirtschafts- und Sozialwissenschaftliche Fakultät - Departement Sozialwissenschaften - Institut für Kommunikations- und Medienwissenschaft - IKMB, Universität Koblenz-Landau - Institut für Kommunikationspsychologie, Medienpädagogik und Sprechwissenschaft - IKMS. Distributed by FORS, Lausanne, 2018. https://doi.org/10.23662/FORS-DS-941-1",1,2,"party name, sender, year",1,0,1,"Coder_ID, Story/ press release/spot identification number, Date (day), Date (month), Date (year), News outlet/press release/spot, Country, Sender, Sender_agg, Source, Page number, Type of story, Length of newspaper story, EconProbl , V9",1,0,2,2,1,1,,,"no texts, only coding",,,,,,,
Austria,AT,"national, subnational","AT: SPÖ, ÖVP, FPÖ, GRÜNE, NEOS, PILZ/JETZT, TS, BZÖ",1,Press Release,"Press Release (from party office, from PPG)",APA-OTS,https://www.ots.at/,1998,ongoing,,,1,2,text/html,2,2,1,,0,1,"party name, sender, date, time",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Austria,AT,national,"AT: SPÖ, ÖVP, FPÖ, GRÜNE, KPÖ, LIF",1,Press Release,Press Release (multiple senders),AUTNES,https://search.GESIS.org/research_data/ZA6878,2002,2002,14.10.2002,24.11.2002,1,1,.dta,2,4,1,"Müller, Wolfgang C., Bodlos, Anita, Dolezal, Martin, Eder, Nikolaus, Ennser-Jedenastik, Laurenz, Kaltenegger, Matthias, Meyer, Thomas M., . . . (2017). AUTNES Content Analysis of Party Press Releases (OTS) 2002. GESIS Datenarchiv, Köln. ZA6878 Datenfile Version 1.0.0, https://doi.org/10.4232/1.12695.",1,2,"party name, sender",1,1,1,"pre_selection_id, ots_id, coder, party id, sender, keywords, title, subtitle, text, subject 1: name, subject 1: organisation, subject 2: name, subject 2: organisation, subject: record, title: issue, title: issue predicate, title: reference to EU, subtitle: issue, subtitle: issue predicate, subtitle: reference to EU, justification, object 1: name, object 1: organisation, object 1: predicate, object 1: record, object 1: attribute, object 2: name, object 2: organisation, object 2: predicate, object 2: record, object 2: attribute, object 3: name, object 3: organisation, object 3: predicate, object 3: record, object 3: attribute, trigger: arena, trigger: name, trigger: organisation, bipartisan press release",1,0,2,2,1,1,,,no full texts/only first parts of text,,,,,,,
Austria,AT,national,"AT: SPÖ, ÖVP, FPÖ, GRÜNE, BZÖ, LIF",1,Press Release,Press Release (multiple senders),AUTNES,https://search.GESIS.org/research_data/ZA6879,2006,2006,21.08.2006,01.10.2006,1,1,.dta,2,4,1,"Müller, Wolfgang C., Bodlos, Anita, Dolezal, Martin, Eder, Nikolaus, Ennser-Jedenastik, Laurenz, Kaltenegger, Matthias, Meyer, Thomas M., . . . (2017). AUTNES Content Analysis of Party Press Releases (OTS) 2006. GESIS Datenarchiv, Köln. ZA6879 Datenfile Version 1.0.0, https://doi.org/10.4232/1.12696.",1,2,"party name, sender",1,1,1,"pre_selection_id, ots_id, coder, party id, sender, keywords, title, subtitle, text, subject 1: name, subject 1: organisation, subject 2: name, subject 2: organisation, subject: record, title: issue, title: issue predicate, title: reference to EU, subtitle: issue, subtitle: issue predicate, subtitle: reference to EU, justification, object 1: name, object 1: organisation, object 1: predicate, object 1: record, object 1: attribute, object 2: name, object 2: organisation, object 2: predicate, object 2: record, object 2: attribute, object 3: name, object 3: organisation, object 3: predicate, object 3: record, object 3: attribute, trigger: arena, trigger: name, trigger: organisation, bipartisan press release",1,0,2,2,1,1,,,no full texts/only first parts of text,,,,,,,
Austria,AT,national,"AT: SPÖ, ÖVP, FPÖ, GRÜNE, BZÖ, Liste Fritz, KPÖ, LIF",1,Press Release,Press Release (multiple senders),AUTNES,https://search.GESIS.org/research_data/ZA6880,2008,2008,18.08.2008,28.09.2008,1,1,.dta,2,4,1,"Müller, Wolfgang C., Bodlos, Anita, Dolezal, Martin, Eder, Nikolaus, Ennser-Jedenastik, Laurenz, Kaltenegger, Matthias, Meyer, Thomas M., . . . (2017). AUTNES Content Analysis of Party Press Releases (OTS) 2008. GESIS Datenarchiv, Köln. ZA6880 Datenfile Version 1.0.0, https://doi.org/10.4232/1.12697.",1,2,"party name, sender",1,1,1,"pre_selection_id, ots_id, coder, party id, sender, keywords, title, subtitle, text, subject 1: name, subject 1: organisation, subject 2: name, subject 2: organisation, subject: record, title: issue, title: issue predicate, title: reference to EU, subtitle: issue, subtitle: issue predicate, subtitle: reference to EU, justification, object 1: name, object 1: organisation, object 1: predicate, object 1: record, object 1: attribute, object 2: name, object 2: organisation, object 2: predicate, object 2: record, object 2: attribute, object 3: name, object 3: organisation, object 3: predicate, object 3: record, object 3: attribute, trigger: arena, trigger: name, trigger: organisation, bipartisan press release",1,0,2,2,1,1,,,no full texts/only first parts of text,,,,,,,
Austria,AT,national,"AT: SPÖ, ÖVP, FPÖ, GRÜNE, BZÖ, TS, NEOS, EUAUS",1,Press Release,Press Release (multiple senders),AUTNES,https://search.GESIS.org/research_data/ZA5861,2013,2013,19.08.2013,28.09.2013,1,1,.dta,2,4,1,"Müller, Wolfgang C., Bodlos, Anita, Dolezal, Martin, Eder, Nikolaus, Ennser-Jedenastik, Laurenz, Kaltenegger, Matthias, Meyer, Thomas M., . . . (2017). AUTNES Content Analysis of Party Press Releases (OTS) 2013. GESIS Datenarchiv, Köln. ZA5861 Datenfile Version 1.0.0, https://doi.org/10.4232/1.12688.",1,2,"party name, sender",1,1,1,"pre_selection_id, ots_id, coder, party id, sender, keywords, title, subtitle, text, subject 1: name, subject 1: organisation, subject 2: name, subject 2: organisation, subject: record, title: issue, title: issue predicate, title: reference to EU, subtitle: issue, subtitle: issue predicate, subtitle: reference to EU, justification, object 1: name, object 1: organisation, object 1: predicate, object 1: record, object 1: attribute, object 2: name, object 2: organisation, object 2: predicate, object 2: record, object 2: attribute, object 3: name, object 3: organisation, object 3: predicate, object 3: record, object 3: attribute, trigger: arena, trigger: name, trigger: organisation, bipartisan press release",1,0,2,2,1,1,,,no full texts/only first parts of text,,,,,,,
Austria,AT,national,"AT: SPÖ, ÖVP, FPÖ, GRÜNE, NEOS, PILZ/JETZT",1,Press Release,Press Release (multiple senders),AUTNES,https://doi.org/10.11587/EVSU6G,2017,2017,04.09.2017,14.10.2017,1,1,.tab,2,3,0,"Müller, Wolfgang C.; Bodlos, Anita; Ennser-Jedenastik, Laurenz; Gahn, Christina; Graf, Elisabeth; Haselmayer, Martin; Haudum, Teresa; Huber, Lena Maria; Meyer, Thomas M.; Reidinger, Verena, 2021, ""AUTNES Content Analysis of Party Press Releases 2017 (SUF edition)"", https://doi.org/10.11587/EVSU6G, AUSSDA, V1, UNF:6:xoZ35Wfcr7N5fcP3tlZotQ== [fileUNF]",1,2,"party name, sender, date",1,1,1,"year, ots_id, coder, date, party, sender, keywords, title, subtitle, text, subject 1: name, subject 1: organisation, subject 2: name, subject 2: organisation, subject: record, title: issue, title: issue",1,0,2,2,1,1,,,no full texts/only first parts of text,,,,,,,
Austria,AT,national,"AT: SPÖ, KPÖ",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=%C3%96sterreich,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Bulgaria,BG,national,"BG: DSB, SDS, Zelenite, BZNS",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&org=Partei&ctag=Bulgarien,2017,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
Germany,DE,"national, subnational","DE: AfD, CDU, CSU, LINKE, FDP, 90/Greens, Piraten, SPD",1,Press Release,Press Release (from party office),Friedrich Ebert Stiftung,https://library.fes.de/pressemitteilungen/?&ctag=Deutschland&start=0&org=Partei,2008,2021,,,0,2,text/html,2,7,1,"Friedrich-Ebert-Stiftung, Bibliothek (n.d.). Pressemitteilungen von Parteien und Gewerkschaften. Retrieved April 27, 2021, from https://library.fes.de/pressemitteilungen/",1,1,"party name, year, citationlink, source, title, url, RSS data",1,0,0,NA,0,1,0,0,0,1,,,,,,,,,,
